Unnamed: 0,scrapedate,lastupdated,stateagency,fac_facilinitials,facility,fac_inc_positive,fac_inc_positivelast14days,fac_inc_active,fac_inc_releasedwhileactive,fac_inc_recovered,fac_inc_deaths,fac_staff_population,fac_staff_partiallyvaccinated,fac_staff_fullyvaccinated,facilties_staff_fullyvaccinatedpercent,fac_inc_population,fac_inc_partiallyvaccinated,fac_inc_fullyvaccinated,facilties_inc_fullyvaccinatedpercent,fac_staff_positive,fac_staff_recovered,sum_inc_tested,sum_staff_deaths,sum_staff_active,sum_inc_vaccinated,sum_staff_vaccinated,facility_bjs,fac_state,fac_inc_tested,fac_staff_deaths,fac_inc_new_deaths,fac_inc_new_recovered,fac_inc_new_tested,fac_inc_new_positive,fac_inc_negative,fac_inc_new_negative,fac_inc_released,fac_inc_new_released,fac_inc_tested1000,fac_inc_new_tested1000,fac_inc_pending,fac_inc_activetested14,fac_inc_activeptested14,fac_inc_activeinconclusive,fac_staff_new_deaths,fac_staff_new_recovered,fac_staff_new_positive,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_vaccited,sum_staff_positive,sum_staff_vaccited,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeusetxt,bjs_fac_changemth,bjs_fac_changeyr,bjs_fac_changeclose,bjs_fac_notes2,oldnew,fac_staff_active,fac_staff_newlast14days,state
33,2021-01-01,44196,CA,FSP,Folsom State Prison,1354.0,2.0,3.0,12.0,1337.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 Prison Road, Represa, CA 95671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
34,2021-01-01,44196,CA,SQ,"CA State Prison, San Quentin",2239.0,1.0,2.0,57.0,2152.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Main Street, San Quentin, CA 94964 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
35,2021-01-01,44196,CA,CVSP,Chuckawalla Valley State Prison,1779.0,0.0,1.0,28.0,1741.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19025 Wiley’s Well Rd., Blythe, CA 92225 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
36,2021-01-01,44196,CA,,Northern California Youth Correctional Center,,,,,,,,,,,,,,,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,"7650 South Newcastle Road, Stockton, CA 95215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
37,2021-01-01,44196,CA,,OH Close Youth Correctional Facility,,,,,,,,,,,,,,,26,8,,,,,,,,,,,,,,,,,,,,,,,,,,,"7650 South Newcastle Road, Stockton, CA 95213-9001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
38,2021-01-01,44196,CA,,Chaderjian Youth Correctional Facility,,,,,,,,,,,,,,,35,7,,,,,,,,,,,,,,,,,,,,,,,,,,,"7650 South Newcastle Road, Stockton, CA 95215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
39,2021-01-01,44196,CA,,Ventura,,,,,,,,,,,,,,,43,22,,,,,,,,,,,,,,,,,,,,,,,,,,,"3100 Wright Road, Camarillo, CA 93010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
40,2021-01-01,44196,CA,,Pine Grove,,,,,,,,,,,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"13630 Aqueduct-Volcano Road, Pine Grove, CA 95665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
41,2021-01-01,12/31/2020,CA,,,,,,,,,,,,,,,,,,,115697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
42,2021-01-01,12/31/2020,CA,,,,,,,,,,,,,,,,,,,,11.0,4333,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
43,2021-01-02,44197,CA,ISP,Ironwood State Prison,863.0,486.0,741.0,7.0,114.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19005 Wiley’s Well Road, Blythe, CA 92225 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
44,2021-01-02,44197,CA,SCC,Sierra Conservation Center,1113.0,565.0,589.0,9.0,515.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5100 O’Byrnes Ferry Road, Jamestown, CA 95327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
45,2021-01-02,44197,CA,CTF,Correctional Training Facility,2247.0,315.0,540.0,21.0,1677.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Soledad Prison Road, Soledad, CA 93960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
46,2021-01-02,44197,CA,CMC,CA Mens Colony,1107.0,487.0,493.0,10.0,602.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Colony Dr, San Luis Obispo, CA 93409 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
47,2021-01-02,44197,CA,CCWF,Central CA Women's Facility,459.0,425.0,426.0,1.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23370 Road 22, Chowchilla, CA 93610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
48,2021-01-02,44197,CA,CMF,CA Medical Facility,418.0,297.0,408.0,2.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1600 California Dr., Vacaville, CA 95696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
49,2021-01-02,44197,CA,MCSP,Mule Creek State Prison,1465.0,331.0,390.0,3.0,1070.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4001 Highway 104, Ione, CA 95640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
50,2021-01-02,44197,CA,CAL,Calipatria State Prison,705.0,226.0,385.0,11.0,309.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7018 Blair Road, Calipatria, CA 92233 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
51,2021-01-02,44197,CA,NKSP,North Kern State Prison,653.0,280.0,367.0,7.0,279.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2737 West Cecil Avenue, Delano, CA 93215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
52,2021-01-02,44197,CA,WSP,Wasco State Prison,1166.0,354.0,363.0,44.0,759.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"701 Scofield Avenue, Wasco, CA 93280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
53,2021-01-02,44197,CA,CAC,California City Correctional Facility,867.0,349.0,356.0,5.0,506.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22844 Virginia Blvd., California City, CA 93505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
54,2021-01-02,44197,CA,SOL,"CA State Prison, Solano",552.0,232.0,339.0,5.0,207.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2100 Peabody Road, Vacaville, CA 95687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
55,2021-01-02,44197,CA,CHCF,California Healthcare Facility,368.0,186.0,319.0,4.0,42.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7707 Austin Road, Stockton, CA 95215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
56,2021-01-02,44197,CA,LAC,"CA State Prison, LA County",1393.0,292.0,299.0,9.0,1078.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44750 60th Street West, Lancaster, CA 93536-7620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
57,2021-01-02,44197,CA,CCC,CA Correctional Center,1130.0,284.0,289.0,37.0,804.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"711-045 Center Rd., Susanville, CA 96127-0790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
58,2021-01-02,44197,CA,RJD,R.J. Donovan Corr. Fac. Rock Mtn.,937.0,256.0,284.0,2.0,645.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480 Alta Road, San Diego, CA 92179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
